IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
0LuFMlas932Oj8jqSvsCYb,3FL,事務室,システム天井 照明,1458,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCYc,3FL,事務室,システム天井 照明,1459,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCap,4FL,事務室,システム天井 照明,1460,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCay,4FL,事務室,システム天井 照明,1461,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCaz,4FL,事務室,システム天井 照明,1462,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCa_,4FL,事務室,システム天井 照明,1463,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCa$,4FL,事務室,システム天井 照明,1464,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCau,4FL,事務室,システム天井 照明,1465,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCav,4FL,事務室,システム天井 照明,1466,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCaw,4FL,事務室,システム天井 照明,1467,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCax,4FL,事務室,システム天井 照明,1468,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCaa,4FL,事務室,システム天井 照明,1469,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCab,4FL,事務室,システム天井 照明,1470,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCac,4FL,事務室,システム天井 照明,1471,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
0LuFMlas932Oj8jqSvsCad,4FL,事務室,システム天井 照明,1472,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
